PID,Trial,Condition,Measure,Response
26,8,Matched Hand,Agency,2.0
26,9,Alien Hand,Agency,3.0
27,1,Alien Hand,Agency,1.0
27,2,Mismatched Hand,Agency,0.0
27,3,Matched Hand,Agency,2.0
27,4,Alien Hand,Agency,2.0
27,5,Mismatched Hand,Agency,-1.0
27,6,Matched Hand,Agency,1.0
27,7,Alien Hand,Agency,2.0
27,8,Mismatched Hand,Agency,1.0
27,9,Matched Hand,Agency,1.0
28,1,Alien Hand,Agency,3.0
28,2,Mismatched Hand,Agency,2.0
28,3,Matched Hand,Agency,3.0
28,4,Alien Hand,Agency,2.0
28,5,Mismatched Hand,Agency,2.0
28,6,Matched Hand,Agency,1.0
28,7,Alien Hand,Agency,0.0
28,8,Mismatched Hand,Agency,2.0
28,9,Matched Hand,Agency,1.0
29,1,Matched Hand,Agency,3.0
29,2,Mismatched Hand,Agency,3.0
29,3,Alien Hand,Agency,2.0
29,4,Matched Hand,Agency,2.0
29,5,Mismatched Hand,Agency,-2.0
29,6,Alien Hand,Agency,-3.0
29,7,Matched Hand,Agency,-1.0
29,8,Mismatched Hand,Agency,-2.0
29,9,Alien Hand,Agency,-2.0
30,1,Matched Hand,Agency,3.0
30,2,Mismatched Hand,Agency,3.0
30,3,Alien Hand,Agency,2.0
30,4,Matched Hand,Agency,2.0
30,5,Mismatched Hand,Agency,2.0
30,6,Alien Hand,Agency,2.0
30,7,Matched Hand,Agency,2.0
30,8,Mismatched Hand,Agency,2.0
30,9,Alien Hand,Agency,2.0
31,1,Mismatched Hand,Agency,1.0
31,2,Alien Hand,Agency,2.0
31,3,Matched Hand,Agency,2.0
31,4,Mismatched Hand,Agency,2.0
31,5,Alien Hand,Agency,3.0
31,6,Matched Hand,Agency,2.0
31,7,Mismatched Hand,Agency,1.0
31,8,Alien Hand,Agency,1.0
31,9,Matched Hand,Agency,2.0
32,1,Mismatched Hand,Agency,3.0
32,2,Matched Hand,Agency,2.0
32,3,Alien Hand,Agency,3.0
32,4,Mismatched Hand,Agency,3.0
32,5,Matched Hand,Agency,0.0
32,6,Alien Hand,Agency,1.0
32,7,Mismatched Hand,Agency,1.0
32,8,Matched Hand,Agency,1.0
32,9,Alien Hand,Agency,1.0
33,1,Matched Hand,Agency,1.0
33,2,Alien Hand,Agency,1.0
33,3,Mismatched Hand,Agency,1.0
33,4,Matched Hand,Agency,1.0
33,5,Alien Hand,Agency,1.0
33,6,Mismatched Hand,Agency,1.0
33,7,Matched Hand,Agency,1.0
33,8,Alien Hand,Agency,1.0
33,9,Mismatched Hand,Agency,1.0
34,1,Matched Hand,Agency,3.0
34,2,Mismatched Hand,Agency,3.0
34,3,Alien Hand,Agency,2.0
34,4,Matched Hand,Agency,3.0
34,5,Mismatched Hand,Agency,3.0
34,6,Alien Hand,Agency,2.0
34,7,Matched Hand,Agency,3.0
34,8,Mismatched Hand,Agency,3.0
34,9,Alien Hand,Agency,-3.0
35,1,Alien Hand,Agency,2.0
35,2,Matched Hand,Agency,3.0
35,3,Mismatched Hand,Agency,3.0
35,4,Alien Hand,Agency,3.0
35,5,Matched Hand,Agency,3.0
35,6,Mismatched Hand,Agency,3.0
35,7,Alien Hand,Agency,3.0
35,8,Matched Hand,Agency,3.0
35,9,Mismatched Hand,Agency,3.0
36,1,Matched Hand,Agency,2.0
36,2,Mismatched Hand,Agency,1.0
36,3,Alien Hand,Agency,1.0
36,4,Matched Hand,Agency,1.0
36,5,Mismatched Hand,Agency,1.0
36,6,Alien Hand,Agency,1.0
36,7,Matched Hand,Agency,1.0
36,8,Mismatched Hand,Agency,1.0
36,9,Alien Hand,Agency,1.0
37,1,Alien Hand,Agency,3.0
37,2,Matched Hand,Agency,3.0
37,3,Mismatched Hand,Agency,2.0
37,4,Alien Hand,Agency,2.0
37,5,Matched Hand,Agency,2.0
37,6,Mismatched Hand,Agency,2.0
37,7,Alien Hand,Agency,2.0
37,8,Matched Hand,Agency,2.0
37,9,Mismatched Hand,Agency,2.0
38,1,Mismatched Hand,Agency,3.0
38,2,Matched Hand,Agency,2.0
38,3,Alien Hand,Agency,1.0
